date,value
21/12/18,2
18/02/16,3
20/07/15,1
21/12/17,3
18/02/17,7
24/03/15,1
09/09/14,1
30/04/19,7
30/04/18,3
05/02/18,6
11/03/17,3
05/02/19,2
11/03/16,4
05/02/16,12
05/02/17,2
11/03/14,1
11/03/19,10
11/03/18,5
30/04/17,4
30/04/16,8
30/04/15,1
14/06/18,15
08/05/18,7
14/06/17,16
08/05/19,10
14/06/16,4
08/05/16,2
08/05/17,6
28/11/17,2
28/11/18,10
06/06/17,10
06/06/18,16
28/11/15,3
28/11/16,6
06/06/16,2
17/09/17,3
17/09/16,5
31/08/18,4
31/08/17,12
31/08/16,5
31/08/15,1
17/09/18,1
13/12/15,1
13/12/17,4
13/12/16,6
13/12/18,3
17/10/17,8
22/04/17,6
03/05/19,6
22/04/18,1
17/10/16,1
03/05/18,4
17/10/18,4
03/05/17,6
22/04/16,7
03/05/16,6
22/04/19,8
19/06/17,8
17/10/15,4
19/06/18,5
19/06/16,2
07/01/19,7
07/01/17,4
07/01/18,2
07/01/16,1
01/06/19,4
01/06/18,10
01/06/17,14
01/06/16,5
12/09/18,5
12/09/17,8
12/09/16,2
12/09/15,1
17/07/15,3
29/05/19,7
17/07/18,7
29/05/17,4
17/07/16,1
29/05/18,5
17/07/17,4
29/05/15,1
29/05/16,1
23/08/18,7
04/07/18,7
04/07/16,3
04/07/17,6
12/10/18,10
12/10/17,9
19/08/18,2
05/12/15,3
19/08/17,7
05/12/16,3
28/01/18,2
05/12/17,3
12/10/16,2
19/08/16,6
28/01/19,1
05/12/18,6
12/10/15,2
19/08/15,2
28/01/16,8
19/08/14,2
28/01/17,2
26/02/19,7
26/02/17,4
26/02/18,5
02/01/19,3
02/01/18,6
26/02/16,5
26/02/14,1
07/11/16,3
26/12/17,2
07/11/17,7
20/09/15,1
26/12/18,2
07/11/18,1
20/09/16,10
01/08/16,3
10/11/15,19
20/09/17,15
01/08/17,3
20/09/18,1
10/11/17,6
10/11/16,1
10/11/18,1
07/11/15,4
25/07/13,2
16/03/19,4
16/03/17,6
16/03/18,7
11/05/19,7
11/05/18,9
11/05/17,16
11/05/16,8
16/03/16,7
21/09/17,14
21/09/18,9
27/06/18,7
21/09/15,4
21/09/16,4
27/06/16,5
27/06/17,6
14/04/18,1
09/10/17,7
14/04/19,4
09/10/18,6
14/04/16,3
14/04/17,6
25/07/17,6
23/08/16,6
25/07/18,2
23/08/17,11
09/10/15,3
25/07/16,3
13/04/19,4
26/10/15,8
13/04/18,8
26/10/16,8
26/10/17,5
13/04/17,2
26/10/18,2
13/04/16,1
16/01/16,1
16/01/18,6
16/01/17,3
16/01/19,10
26/09/18,6
26/09/16,4
26/09/17,6
27/08/17,3
20/10/15,7
26/09/15,2
17/12/18,9
22/02/16,8
27/08/15,1
22/02/15,1
20/10/18,2
22/02/18,6
17/12/16,2
22/02/17,6
20/10/16,4
22/02/19,10
